doc_id,title,text_len,word_count,line_count,has_pipe,has_tab,has_brackets,num_count,year_count,unique_years,has_currency,pct_count,is_relevant
d8e4ea4ac,,4672,710,32,True,False,False,20,4,1,True,0,False
d8d3b0d4e,,2086,339,9,False,False,False,33,16,1,True,0,False
d89382114,,2367,350,14,False,False,False,19,5,1,True,0,False
d8d151e68,,1203,212,12,True,False,False,35,11,1,True,0,False
d88daccb2,,309,50,2,False,False,False,6,3,1,True,0,False
d8695f904,,4481,769,37,True,False,False,110,28,1,True,0,False
d85eaad4c,,153,24,1,False,False,False,0,0,0,False,0,False
d8ee54588,,3524,544,28,True,False,False,25,6,1,True,1,False
d8327a646,,3796,581,28,True,False,False,77,4,1,True,2,True
d8876a00c,,6429,1052,51,True,False,False,159,45,1,True,16,False
d8a1177de,,1995,299,9,True,False,False,18,7,1,True,0,False
d8c9cf906,,2550,384,16,False,False,False,9,3,1,False,1,False
d8d24b238,,6834,1051,47,True,False,False,99,20,1,True,0,False
d8cc5eb18,,1630,281,17,True,False,False,37,10,1,True,13,False
d8f5489f2,,5698,1004,50,True,False,False,134,11,1,True,34,False
d886d0c2c,,1347,206,11,False,False,False,9,5,1,False,0,False
d80ee2864,,475,67,3,False,False,False,5,4,1,False,0,True
d8deebccc,,5412,909,45,True,False,False,125,7,1,True,3,False
d8d772824,,2267,378,16,True,False,False,20,3,1,True,4,False
d86caca6c,,2629,477,24,True,False,False,105,11,1,True,0,False
d8d259b4e,,1341,231,18,True,False,False,35,6,1,True,0,False
d89ed6358,,2765,437,17,False,False,False,33,2,1,False,0,False
d863b7268,,947,147,4,False,False,False,10,10,1,False,0,False
d8aa1dd4c,,550,121,8,True,False,False,30,0,0,True,0,False
d8e075caa,,488,77,2,False,False,False,11,2,1,True,0,False
d8edcec58,,3386,515,23,False,False,False,19,11,1,True,0,False
d8b16dcc8,,998,178,14,True,False,False,70,9,1,True,0,False
d8e075ed0,,1541,240,10,False,False,False,7,2,1,False,0,False
d8d07ea90,,2965,471,15,True,False,False,22,6,2,True,0,False
d89c1cc52,,3732,600,34,True,False,False,76,12,2,True,1,False
d8ed899d2,,1551,268,20,True,False,False,58,4,1,True,0,False
d8a99492a,,3465,503,18,False,False,False,39,14,1,True,0,False
d8eed09b2,,1851,293,10,False,False,False,19,12,1,True,0,False
d869ea540,,2883,452,15,True,False,False,33,11,1,True,1,False
d868d969c,,3365,584,31,True,False,False,109,8,1,True,12,False
d8cf74208,,4103,654,40,True,False,False,66,10,2,True,1,False
d8d858572,,615,122,11,True,False,False,25,3,1,False,6,False
d8ca88370,,2411,368,12,False,False,False,63,25,1,True,3,False
d87516414,,472,70,3,False,False,False,3,1,1,True,0,False
d8b976050,,1424,354,22,True,False,False,111,3,1,True,2,False
d862755bc,,5125,932,31,True,False,False,100,8,1,True,5,False
d8d4f6fe6,,1427,220,11,False,False,False,15,4,1,True,0,False
d87bfca08,,2085,343,16,False,False,False,21,9,1,False,0,False
d8b57cd50,,1167,161,7,False,False,False,7,1,1,True,0,False
d87c97be8,,1614,245,10,False,False,False,18,7,1,True,0,False
d8694b81e,,1089,188,13,True,False,False,19,3,1,True,0,False
d8a312624,,3709,555,27,True,False,False,26,11,1,True,3,False
d88755a1c,,2040,413,21,True,False,False,52,10,1,False,1,False
d8bea8e88,,5057,758,35,True,False,False,57,18,1,True,0,False
d88d22d00,,5196,848,39,True,False,False,102,24,1,True,0,False
d8d4d279a,,4298,646,27,True,False,False,66,9,1,True,20,False
d89813aca,,980,148,7,False,False,False,29,13,1,True,0,False
d8dd40df0,,2114,411,35,True,False,False,90,6,1,True,0,False
d8f34d33c,,5255,831,18,True,False,False,81,44,1,True,0,False
d8751607c,,2405,376,15,False,False,False,45,15,1,True,0,False
d8777ecf6,,3290,581,29,True,False,False,106,18,1,True,6,False
d8b000746,,4970,819,48,True,False,False,54,8,1,True,0,False
d8c14bcee,,4502,696,28,True,False,False,80,30,1,True,7,False
d8ae9850c,,145,23,1,False,False,False,2,0,0,True,0,False
d87ec1d10,,3404,603,28,True,False,False,117,29,1,True,2,False
d8d64e6fa,,4072,783,57,True,False,False,171,21,1,True,0,False
d8c6d6b6e,,3408,522,23,True,False,False,63,23,1,True,0,False
d8c9a79e2,,232,33,2,False,False,False,4,2,1,False,0,False
d87a98702,,4791,854,36,True,False,False,140,19,1,True,0,False
d8890902a,,2098,349,21,True,False,False,76,20,1,True,0,False
d89532536,,5005,1155,61,True,False,False,357,6,1,True,0,False
d8a5cbb04,,1146,206,13,True,False,False,45,9,1,True,3,False
d8223560a,,569,79,3,False,False,False,7,2,1,True,0,False
d862f09ec,,4327,738,36,True,False,False,56,2,1,True,0,False
d8eca4d96,,4751,895,40,True,False,False,322,7,1,True,0,False
d89c4f74c,,697,104,4,False,False,False,3,1,1,False,0,False
d87a1dd72,,1226,181,12,False,False,False,18,15,2,False,0,False
d87cbde88,,5094,819,35,True,False,False,79,12,1,True,4,False
d8a2b42e0,,893,170,17,True,False,False,46,11,1,True,0,False
d8223524a,,1139,184,8,False,False,False,7,4,1,False,1,False
d8c0d7f4c,,4567,635,29,True,False,False,65,3,1,True,0,False
d8b8a5ae0,,2054,322,18,False,False,False,15,6,1,False,0,False
d8cd9d632,,4490,704,38,True,False,False,32,7,1,True,1,False
d887d2bfc,,903,146,6,False,False,False,12,5,1,True,0,False
d86afc1f4,,132,18,1,False,False,False,0,0,0,False,0,False
d88916b1c,,6845,1050,48,True,False,False,62,11,1,True,0,False
d8a4eece0,,3530,534,29,True,False,False,38,8,1,True,1,False
d8870b502,,1408,255,20,True,False,False,26,3,1,True,0,False
d8f340b32,,4003,599,21,False,False,False,56,33,1,True,0,False
d819b3162,,2264,359,17,False,False,False,49,22,1,True,0,False
d8a266ebe,,295,41,2,False,False,False,1,0,0,False,0,False
d88465e9c,,10740,1727,96,True,False,False,211,22,1,True,7,False
d8b0a1d4e,,3994,620,24,False,False,False,6,4,1,False,1,False
d863d99bc,,2758,469,22,True,False,False,81,19,1,True,14,False
d842dcf7a,,946,178,15,True,False,False,34,9,1,True,0,True
d8f25f614,,2063,290,10,False,False,False,18,3,1,True,0,False
d8c882530,,3591,585,26,True,False,False,49,17,1,True,0,False
d8d8da3b0,,3494,555,27,True,False,False,80,22,1,True,5,False
d8c95a548,,3287,637,32,True,False,False,157,6,1,True,0,False
d8665d558,,5260,814,33,True,False,False,92,49,1,True,10,False
d88c5dd34,,7697,1253,55,True,False,False,100,34,1,True,17,False
